Network,N_WCC,N_LSCC,Percent
bike-sharing,725,723,0.997241379310345
business-faculty,113,84,0.743362831858407
caviar-proj,110,63,0.572727272727273
celegans-her,313,215,0.686900958466454
celegans-male,328,238,0.725609756097561
colombia-calls,863,863,1
colombia-mobility,863,863,1
comorbidity,95,95,1
cs-faculty,206,78,0.378640776699029
DDI,412,412,1
giraffe,6,6,1
history-faculty,145,56,0.386206896551724
mobility-manizales,57,57,1
mobility-medellin,413,413,1
phone-calls,322,30,0.093167701863354
tennis-loss,4245,1263,0.297526501766784
us-airports,1075,926,0.861395348837209
us-weblinks,42800,18112,0.423177570093458
yeast-grn,6216,1225,0.197072072072072
